state,latitude,longitude
Kentucky,37,86
Pennsylvania,41,78
Florida,28,82
Wisconsin,44,90
Utah,39,111
Washington,47,120
California,37,120
Texas,31,99
Illinois,40,89
Minnesota,46,94
Indiana,40,86
Michigan,44,85
Delaware,39,75
North Carolina,36,80
Arizona,35,112
Virginia,38,79
New York,41,74
Tennessee,36,86
Alabama,33,87
South Carolina,34,81
Oregon,44,121
Iowa,42,94
Missouri,38,92
Oklahoma,35,98
Ohio,40,83
Colorado,39,106
Louisiana,31,92
Connecticut,42,73
Georgia,33,83
Nevada,39,117
Arkansas,35,92
Mississippi,33,90
Massachusetts,42,72
New Mexico,34,106
Montana,47,110
Maryland,39,77
New Hampshire,44,72
New Jersey,40,74
Rhode Island,42,72
District of Columbia,39,77
Maine,45,69
Wyoming,43,107
Idaho,45,115
Kansas,38,98
Vermont,44,73
South Dakota,44,100
North Dakota,47,100
West Virginia,39,80
